familyID	type	detail	Protein_names	Gene_names	Tax	TaxID	Rep_Tax	Rep_TaxID	UniProtKB	unirefID
Cluster_1002	UniRef90_GO	GO:0005886;GO:0015234;GO:0015888;GO:0016021	Proton-coupled thiamine transporter YuaJ	CDL20_08315{ECO:0000313|EMBL:PLT86590.1},CDL23_11625	Clostridiales	186802	Ruminococcus gnavus	33038	A0A2N5PZR6	UniRef90_A0A2N5PZR6
Cluster_1002	UniRef90_PfamDomain	PF09515	Proton-coupled thiamine transporter YuaJ	CDL20_08315{ECO:0000313|EMBL:PLT86590.1},CDL23_11625	Clostridiales	186802	Ruminococcus gnavus	33038	A0A2N5PZR6	UniRef90_A0A2N5PZR6
Cluster_1003	UniRef90_GO	GO:0016787	HAD hydrolase, family IA, variant 1	RUMGNA_01857{ECO:0000313|EMBL:EDN77702.1}	Clostridiales	186802	Ruminococcus gnavus (strain ATCC 29149 / VPI C7-9)	411470	A7B2S9	UniRef90_A7B2S9
Cluster_1003	UniRef90_eggNOG	COG0546;ENOG4105FQM	HAD hydrolase, family IA, variant 1	RUMGNA_01857{ECO:0000313|EMBL:EDN77702.1}	Clostridiales	186802	Ruminococcus gnavus (strain ATCC 29149 / VPI C7-9)	411470	A7B2S9	UniRef90_A7B2S9
Cluster_1004	UniRef90_PfamDomain	PF08348;PF13309	YheO-like protein	RUMGNA_02161{ECO:0000313|EMBL:EDN77557.1}	Clostridiales	186802	Ruminococcus gnavus (strain ATCC 29149 / VPI C7-9)	411470	A7B3N1	UniRef90_A7B3N1
Cluster_1004	UniRef90_eggNOG	COG2964;ENOG4105WWK	YheO-like protein	RUMGNA_02161{ECO:0000313|EMBL:EDN77557.1}	Clostridiales	186802	Ruminococcus gnavus (strain ATCC 29149 / VPI C7-9)	411470	A7B3N1	UniRef90_A7B3N1
Cluster_1004	UniRef90_uncharacterized	UniRef90_uncharacterized	YheO-like protein	RUMGNA_02161{ECO:0000313|EMBL:EDN77557.1}	Clostridiales	186802	Ruminococcus gnavus (strain ATCC 29149 / VPI C7-9)	411470	A7B3N1	UniRef90_A7B3N1
Cluster_1005	UniRef90_GO	GO:0016021	Zf-HC2 domain-containing protein	CDL20_05205{ECO:0000313|EMBL:PLT88109.1},DXC31_14400	Clostridiales	186802	Ruminococcus gnavus	33038	A0A2N5Q1F5	UniRef90_A0A2N5Q1F5
Cluster_1005	UniRef90_PfamDomain	PF13490	Zf-HC2 domain-containing protein	CDL20_05205{ECO:0000313|EMBL:PLT88109.1},DXC31_14400	Clostridiales	186802	Ruminococcus gnavus	33038	A0A2N5Q1F5	UniRef90_A0A2N5Q1F5
Cluster_1006	UniRef90_PfamDomain	PF01205;PF09186	YigZ family protein	RUMGNA_03595{ECO:0000313|EMBL:EDN75972.1}	Clostridiales	186802	Ruminococcus gnavus (strain ATCC 29149 / VPI C7-9)	411470	A7B7M9	UniRef90_A7B7M9
Cluster_1006	UniRef90_eggNOG	COG1739;ENOG4108ZK7	YigZ family protein	RUMGNA_03595{ECO:0000313|EMBL:EDN75972.1}	Clostridiales	186802	Ruminococcus gnavus (strain ATCC 29149 / VPI C7-9)	411470	A7B7M9	UniRef90_A7B7M9
Cluster_1006	UniRef90_uncharacterized	UniRef90_uncharacterized	YigZ family protein	RUMGNA_03595{ECO:0000313|EMBL:EDN75972.1}	Clostridiales	186802	Ruminococcus gnavus (strain ATCC 29149 / VPI C7-9)	411470	A7B7M9	UniRef90_A7B7M9
Cluster_1007	UniRef90_GO	GO:0016853	Sugar phosphate isomerase/epimerase	CDL25_06630{ECO:0000313|EMBL:PLT69404.1},CDL27_12510	Clostridiales	186802	Ruminococcus gnavus	33038	A0A2N5NPC6	UniRef90_A0A2N5NPC6
Cluster_1008	UniRef90_GO	GO:0016021	Uncharacterized protein	RUMGNA_02506{ECO:0000313|EMBL:EDN77299.1}	Clostridiales	186802	Ruminococcus gnavus (strain ATCC 29149 / VPI C7-9)	411470	A7B4M2	UniRef90_A7B4M2
Cluster_1009	UniRef90_uncharacterized	UniRef90_uncharacterized	HAD family phosphatase	DW001_15500{ECO:0000313|EMBL:RHL75551.1}	Clostridiales	186802	[Eubacterium] rectale	39491	A0A396FJH2	UniRef90_A0A396FJH2
Cluster_101	UniRef90_GO	GO:0016740	Glycosyltransferases involved in cell wall biogenesis	BN626_00472{ECO:0000313|EMBL:CDC71199.1}	Clostridiales	186802	Eubacterium rectale CAG:36	1263079	R6TN40	UniRef90_R6TN40
Cluster_101	UniRef90_PfamDomain	PF00535	Glycosyltransferases involved in cell wall biogenesis	BN626_00472{ECO:0000313|EMBL:CDC71199.1}	Clostridiales	186802	Eubacterium rectale CAG:36	1263079	R6TN40	UniRef90_R6TN40
Cluster_1010	UniRef90_GO	GO:0005524;GO:0016887	Fluoroquinolones export ATP-binding protein Rv2688c/MT2762	ERS852417_00648{ECO:0000313|EMBL:CUN60825.1}	Clostridiales	186802	[Eubacterium] rectale	39491	A0A173YCY5	UniRef90_A0A173YCY5
Cluster_1010	UniRef90_PfamDomain	PF00005	Fluoroquinolones export ATP-binding protein Rv2688c/MT2762	ERS852417_00648{ECO:0000313|EMBL:CUN60825.1}	Clostridiales	186802	[Eubacterium] rectale	39491	A0A173YCY5	UniRef90_A0A173YCY5
Cluster_1011	UniRef90_GO	GO:0016021	Uncharacterized protein	HMPREF0991_02492{ECO:0000313|EMBL:EGN45789.1}	Clostridiales	186802	Lachnospiraceae bacterium 2_1_58FAA	658082	F7JZC9	UniRef90_F7JZC9
Cluster_1011	UniRef90_PfamDomain	PF02588	Uncharacterized protein	HMPREF0991_02492{ECO:0000313|EMBL:EGN45789.1}	Clostridiales	186802	Lachnospiraceae bacterium 2_1_58FAA	658082	F7JZC9	UniRef90_F7JZC9
Cluster_1012	UniRef90_GO	GO:0016787	Cell wall hydrolase	CDL20_05545{ECO:0000313|EMBL:PLT87810.1}	Clostridiales	186802	Ruminococcus gnavus	33038	A0A2N5Q1A4	UniRef90_A0A2N5Q1A4
Cluster_1012	UniRef90_PfamDomain	PF07486	Cell wall hydrolase	CDL20_05545{ECO:0000313|EMBL:PLT87810.1}	Clostridiales	186802	Ruminococcus gnavus	33038	A0A2N5Q1A4	UniRef90_A0A2N5Q1A4
Cluster_1013	UniRef90_GO	GO:0004017;GO:0005524;GO:0005737;GO:0008270;GO:0044209	Adenylate kinase	adk{ECO:0000255|HAMAP-Rule:MF_00235};EUBREC_0438	Clostridiales	186802	Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990)	515619	C4ZBT9	UniRef90_C4ZBT9
Cluster_1013	UniRef90_KEGG-KOs	K00939	Adenylate kinase	adk{ECO:0000255|HAMAP-Rule:MF_00235};EUBREC_0438	Clostridiales	186802	Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990)	515619	C4ZBT9	UniRef90_C4ZBT9
Cluster_1013	UniRef90_PfamDomain	PF05191	Adenylate kinase	adk{ECO:0000255|HAMAP-Rule:MF_00235};EUBREC_0438	Clostridiales	186802	Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990)	515619	C4ZBT9	UniRef90_C4ZBT9
Cluster_1014	UniRef90_GO	GO:0005524;GO:0016887	ABC transporter ATP-binding protein	CDL24_13705{ECO:0000313|EMBL:PLT74410.1},CDL27_14435	Clostridiales	186802	Ruminococcus gnavus	33038	A0A2N5PGZ7	UniRef90_A0A2N5PGZ7
Cluster_1014	UniRef90_PfamDomain	PF00005	ABC transporter ATP-binding protein	CDL24_13705{ECO:0000313|EMBL:PLT74410.1},CDL27_14435	Clostridiales	186802	Ruminococcus gnavus	33038	A0A2N5PGZ7	UniRef90_A0A2N5PGZ7
Cluster_1015	UniRef90_GO	GO:0016021	Uncharacterized protein	CDL27_15010{ECO:0000313|EMBL:PLT57748.1}	Clostridiales	186802	Ruminococcus gnavus	33038	A0A2N5NLG7	UniRef90_A0A2N5NLG7
Cluster_1015	UniRef90_PfamDomain	PF04854	Uncharacterized protein	CDL27_15010{ECO:0000313|EMBL:PLT57748.1}	Clostridiales	186802	Ruminococcus gnavus	33038	A0A2N5NLG7	UniRef90_A0A2N5NLG7
Cluster_1016	UniRef90_uncharacterized	UniRef90_uncharacterized	Orotate phosphoribosyltransferase	DWZ70_03595{ECO:0000313|EMBL:RHM39725.1},DXC31_13775	Clostridiales	186802	Ruminococcus gnavus	33038	A0A396G7X9	UniRef90_A0A396G7X9
Cluster_1017	UniRef90_GO	GO:0008176	tRNA (guanine-N(7)-)-methyltransferase	trmB{ECO:0000256|HAMAP-Rule:MF_01057,;DXB99_07155{ECO:0000313|EMBL:RGM71783.1},DXC13_06460	Clostridiales	186802	[Eubacterium] rectale	39491	A0A0M6WTN1	UniRef90_A0A0M6WTN1
Cluster_1018	UniRef90_GO	GO:0005524;GO:0005887;GO:0008556	Potassium-transporting ATPase KdpC subunit	kdpC{ECO:0000256|HAMAP-Rule:MF_00276};CDL24_08920{ECO:0000313|EMBL:PLT77477.1},CDL25_10335	Clostridiales	186802	Ruminococcus gnavus	33038	A0A2N5PQQ7	UniRef90_A0A2N5PQQ7
Cluster_1018	UniRef90_PfamDomain	PF02669	Potassium-transporting ATPase KdpC subunit	kdpC{ECO:0000256|HAMAP-Rule:MF_00276};CDL24_08920{ECO:0000313|EMBL:PLT77477.1},CDL25_10335	Clostridiales	186802	Ruminococcus gnavus	33038	A0A2N5PQQ7	UniRef90_A0A2N5PQQ7
Cluster_1019	UniRef90_GO	GO:0003677;GO:0003700;GO:0006352;GO:0016987	RNA polymerase sigma factor, sigma-70 family	ERE_13720{ECO:0000313|EMBL:CBK93363.1}	Clostridiales	186802	[Eubacterium] rectale M104/1	657317	D4JIB6	UniRef90_D4JIB6
Cluster_1019	UniRef90_KEGG-KOs	K03088	RNA polymerase sigma factor, sigma-70 family	ERE_13720{ECO:0000313|EMBL:CBK93363.1}	Clostridiales	186802	[Eubacterium] rectale M104/1	657317	D4JIB6	UniRef90_D4JIB6
Cluster_1019	UniRef90_PfamDomain	PF04542;PF08281	RNA polymerase sigma factor, sigma-70 family	ERE_13720{ECO:0000313|EMBL:CBK93363.1}	Clostridiales	186802	[Eubacterium] rectale M104/1	657317	D4JIB6	UniRef90_D4JIB6
Cluster_102	UniRef90_GO	GO:0006064;GO:0008927	Mannonate dehydratase	uxuA{ECO:0000256|HAMAP-Rule:MF_00106};BN770_00145{ECO:0000313|EMBL:CDE48906.1}	Clostridiales	186802	Faecalibacterium sp. CAG:74	1262897	R7IBP6	UniRef90_R7IBP6
Cluster_102	UniRef90_PfamDomain	PF03786	Mannonate dehydratase	uxuA{ECO:0000256|HAMAP-Rule:MF_00106};BN770_00145{ECO:0000313|EMBL:CDE48906.1}	Clostridiales	186802	Faecalibacterium sp. CAG:74	1262897	R7IBP6	UniRef90_R7IBP6
Cluster_1020	UniRef90_GO	GO:0016021	DUF624 domain-containing protein	CDL23_14595{ECO:0000313|EMBL:PLT71664.1},CDL25_15560	Clostridiales	186802	Ruminococcus gnavus	33038	A0A2N5P950	UniRef90_A0A2N5P950
Cluster_1020	UniRef90_PfamDomain	PF04854	DUF624 domain-containing protein	CDL23_14595{ECO:0000313|EMBL:PLT71664.1},CDL25_15560	Clostridiales	186802	Ruminococcus gnavus	33038	A0A2N5P950	UniRef90_A0A2N5P950
Cluster_1021	UniRef90_PfamDomain	PF09551	Stage II sporulation protein R	spoIIR{ECO:0000313|EMBL:RHA05199.1};DW951_05275{ECO:0000313|EMBL:RHA05199.1}	Clostridiales	186802	[Eubacterium] rectale	39491	A0A395ZGB3	UniRef90_A0A395ZGB3
Cluster_1021	UniRef90_uncharacterized	UniRef90_uncharacterized	Stage II sporulation protein R	spoIIR{ECO:0000313|EMBL:RHA05199.1};DW951_05275{ECO:0000313|EMBL:RHA05199.1}	Clostridiales	186802	[Eubacterium] rectale	39491	A0A395ZGB3	UniRef90_A0A395ZGB3
Cluster_1022	UniRef90_GO	GO:0016021	SpoIIIAH-like family protein	CDL18_13370{ECO:0000313|EMBL:PLT52930.1},CDL20_12720	Clostridiales	186802	Ruminococcus gnavus	33038	A0A2N5NQT7	UniRef90_A0A2N5NQT7
Cluster_1022	UniRef90_PfamDomain	PF12685	SpoIIIAH-like family protein	CDL18_13370{ECO:0000313|EMBL:PLT52930.1},CDL20_12720	Clostridiales	186802	Ruminococcus gnavus	33038	A0A2N5NQT7	UniRef90_A0A2N5NQT7
Cluster_1023	UniRef90_GO	GO:0016021	Uncharacterized protein	EUBREC_1106{ECO:0000313|EMBL:ACR74868.1}	[Eubacterium] rectale	39491	Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990)	515619	C4ZH56	UniRef90_C4ZH56
Cluster_1023	UniRef90_PfamDomain	PF07811	Uncharacterized protein	EUBREC_1106{ECO:0000313|EMBL:ACR74868.1}	[Eubacterium] rectale	39491	Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990)	515619	C4ZH56	UniRef90_C4ZH56
Cluster_1024	UniRef90_GO	GO:0016021	SpoVAA	EUBREC_1068{ECO:0000313|EMBL:ACR74830.1}	Clostridiales	186802	Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990)	515619	C4ZGN3	UniRef90_C4ZGN3
Cluster_1024	UniRef90_KEGG-KOs	K06403	SpoVAA	EUBREC_1068{ECO:0000313|EMBL:ACR74830.1}	Clostridiales	186802	Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990)	515619	C4ZGN3	UniRef90_C4ZGN3
Cluster_1024	UniRef90_PfamDomain	PF12164	SpoVAA	EUBREC_1068{ECO:0000313|EMBL:ACR74830.1}	Clostridiales	186802	Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990)	515619	C4ZGN3	UniRef90_C4ZGN3
Cluster_1025	UniRef90_unknown	UniRef90_unknown	UniRef90_unknown	NA	NA	NA	NA	NA	NA	NA
Cluster_1026	UniRef90_GO	GO:0008236;GO:0016021	Signal peptidase I	EUBREC_3122{ECO:0000313|EMBL:ACR76850.1}	Clostridiales	186802	Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990)	515619	C4Z8M3	UniRef90_C4Z8M3
Cluster_1026	UniRef90_KEGG-KOs	K03100	Signal peptidase I	EUBREC_3122{ECO:0000313|EMBL:ACR76850.1}	Clostridiales	186802	Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990)	515619	C4Z8M3	UniRef90_C4Z8M3
Cluster_1026	UniRef90_PfamDomain	PF00717	Signal peptidase I	EUBREC_3122{ECO:0000313|EMBL:ACR76850.1}	Clostridiales	186802	Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990)	515619	C4Z8M3	UniRef90_C4Z8M3
Cluster_1027	UniRef90_GO	GO:0003677;GO:0004803;GO:0006313	Uncharacterized protein	HMPREF9477_01406{ECO:0000313|EMBL:EGG82397.1}	Lachnospiraceae bacterium 2_1_46FAA	742723	Lachnospiraceae bacterium 2_1_46FAA	742723	F3BBT6	UniRef90_F3BBT6
Cluster_1027	UniRef90_PfamDomain	PF01609	Uncharacterized protein	HMPREF9477_01406{ECO:0000313|EMBL:EGG82397.1}	Lachnospiraceae bacterium 2_1_46FAA	742723	Lachnospiraceae bacterium 2_1_46FAA	742723	F3BBT6	UniRef90_F3BBT6
Cluster_1027	UniRef90_eggNOG	ENOG4108NK6;ENOG410XPUE	Uncharacterized protein	HMPREF9477_01406{ECO:0000313|EMBL:EGG82397.1}	Lachnospiraceae bacterium 2_1_46FAA	742723	Lachnospiraceae bacterium 2_1_46FAA	742723	F3BBT6	UniRef90_F3BBT6
Cluster_1028	UniRef90_uncharacterized	UniRef90_uncharacterized	Nicotinate-nucleotide adenylyltransferase	DXD36_04540{ECO:0000313|EMBL:RGK07125.1}	Clostridiales	186802	Ruminococcus gnavus	33038	A0A3E4K8W4	UniRef90_A0A3E4K8W4
Cluster_1029	UniRef90_unknown	UniRef90_unknown	UniRef90_unknown	NA	NA	NA	NA	NA	NA	NA
Cluster_103	UniRef90_uncharacterized	UniRef90_uncharacterized	Galactitol-1-phosphate 5-dehydrogenase	DWX41_10720{ECO:0000313|EMBL:RGC32085.1}	Clostridiales	186802	Hungatella hathewayi	154046	A0A3E2WWH9	UniRef90_A0A3E2WWH9
Cluster_1030	UniRef90_GO	GO:0016787	MBL fold metallo-hydrolase	CDL18_10000{ECO:0000313|EMBL:PLT54311.1},CDL25_08245	Clostridiales	186802	Ruminococcus gnavus	33038	A0A2N5NUV3	UniRef90_A0A2N5NUV3
Cluster_1030	UniRef90_PfamDomain	PF00753	MBL fold metallo-hydrolase	CDL18_10000{ECO:0000313|EMBL:PLT54311.1},CDL25_08245	Clostridiales	186802	Ruminococcus gnavus	33038	A0A2N5NUV3	UniRef90_A0A2N5NUV3
Cluster_1031	UniRef90_PfamDomain	PF16161	DUF4867 family protein	DW001_06795{ECO:0000313|EMBL:RHL80047.1},DW951_05440	Clostridiales	186802	[Eubacterium] rectale	39491	A0A396FGA3	UniRef90_A0A396FGA3
Cluster_1031	UniRef90_uncharacterized	UniRef90_uncharacterized	DUF4867 family protein	DW001_06795{ECO:0000313|EMBL:RHL80047.1},DW951_05440	Clostridiales	186802	[Eubacterium] rectale	39491	A0A396FGA3	UniRef90_A0A396FGA3
Cluster_1032	UniRef90_eggNOG	ENOG4106KNK;ENOG410YBHJ	Uncharacterized protein	EUBELI_01769{ECO:0000313|EMBL:ACR72759.1}	Clostridiales	186802	Eubacterium eligens (strain ATCC 27750 / VPI C15-48)	515620	C4Z3T4	UniRef90_C4Z3T4
Cluster_1032	UniRef90_uncharacterized	UniRef90_uncharacterized	Uncharacterized protein	EUBELI_01769{ECO:0000313|EMBL:ACR72759.1}	Clostridiales	186802	Eubacterium eligens (strain ATCC 27750 / VPI C15-48)	515620	C4Z3T4	UniRef90_C4Z3T4
Cluster_1033	UniRef90_PfamDomain	PF01330;PF07499	Holliday junction ATP-dependent DNA helicase RuvA	ruvA{ECO:0000256|HAMAP-Rule:MF_00031};DW001_00930{ECO:0000313|EMBL:RHL83278.1},DW951_00340	Clostridiales	186802	[Eubacterium] rectale	39491	A0A395ZL00	UniRef90_A0A395ZL00
Cluster_1033	UniRef90_uncharacterized	UniRef90_uncharacterized	Holliday junction ATP-dependent DNA helicase RuvA	ruvA{ECO:0000256|HAMAP-Rule:MF_00031};DW001_00930{ECO:0000313|EMBL:RHL83278.1},DW951_00340	Clostridiales	186802	[Eubacterium] rectale	39491	A0A395ZL00	UniRef90_A0A395ZL00
Cluster_1034	UniRef90_GO	GO:0016021	Uncharacterized protein	RUMGNA_02238{ECO:0000313|EMBL:EDN77325.1}	Clostridiales	186802	Ruminococcus gnavus (strain ATCC 29149 / VPI C7-9)	411470	A7B3V7	UniRef90_A7B3V7
Cluster_1034	UniRef90_PfamDomain	PF07155	Uncharacterized protein	RUMGNA_02238{ECO:0000313|EMBL:EDN77325.1}	Clostridiales	186802	Ruminococcus gnavus (strain ATCC 29149 / VPI C7-9)	411470	A7B3V7	UniRef90_A7B3V7
Cluster_1034	UniRef90_eggNOG	ENOG4108S3K;ENOG4111FJJ	Uncharacterized protein	RUMGNA_02238{ECO:0000313|EMBL:EDN77325.1}	Clostridiales	186802	Ruminococcus gnavus (strain ATCC 29149 / VPI C7-9)	411470	A7B3V7	UniRef90_A7B3V7
Cluster_1035	UniRef90_GO	GO:0043565	Uncharacterized protein	EUBREC_0101{ECO:0000313|EMBL:ACR73906.1}	Clostridiales	186802	Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990)	515619	C4Z9Q8	UniRef90_C4Z9Q8
Cluster_1035	UniRef90_PfamDomain	PF01381;PF07883	Uncharacterized protein	EUBREC_0101{ECO:0000313|EMBL:ACR73906.1}	Clostridiales	186802	Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990)	515619	C4Z9Q8	UniRef90_C4Z9Q8
Cluster_1036	UniRef90_GO	GO:0008236;GO:0016021	Signal peptidase I	lepB{ECO:0000313|EMBL:PLT69499.1};CDL24_07145{ECO:0000313|EMBL:PLT78114.1},CDL25_05790	Clostridiales	186802	Ruminococcus gnavus	33038	A0A2N5P2Z0	UniRef90_A0A2N5P2Z0
Cluster_1036	UniRef90_PfamDomain	PF00717	Signal peptidase I	lepB{ECO:0000313|EMBL:PLT69499.1};CDL24_07145{ECO:0000313|EMBL:PLT78114.1},CDL25_05790	Clostridiales	186802	Ruminococcus gnavus	33038	A0A2N5P2Z0	UniRef90_A0A2N5P2Z0
Cluster_1037	UniRef90_GO	GO:0016021	Uncharacterized protein	RUMGNA_03525{ECO:0000313|EMBL:EDN75902.1}	Lachnospiraceae	186803	Ruminococcus gnavus (strain ATCC 29149 / VPI C7-9)	411470	A7B7F9	UniRef90_A7B7F9
Cluster_1037	UniRef90_eggNOG	ENOG41076RB;ENOG410Z3X6	Uncharacterized protein	RUMGNA_03525{ECO:0000313|EMBL:EDN75902.1}	Lachnospiraceae	186803	Ruminococcus gnavus (strain ATCC 29149 / VPI C7-9)	411470	A7B7F9	UniRef90_A7B7F9
Cluster_1038	UniRef90_GO	GO:0000162;GO:0004640	N-(5'-phosphoribosyl)anthranilate isomerase	trpF{ECO:0000256|HAMAP-Rule:MF_00135};CDL24_06535{ECO:0000313|EMBL:PLT78276.1},CDL25_11765	Clostridiales	186802	Ruminococcus gnavus	33038	A0A2N5PSV0	UniRef90_A0A2N5PSV0
Cluster_1038	UniRef90_PfamDomain	PF00697	N-(5'-phosphoribosyl)anthranilate isomerase	trpF{ECO:0000256|HAMAP-Rule:MF_00135};CDL24_06535{ECO:0000313|EMBL:PLT78276.1},CDL25_11765	Clostridiales	186802	Ruminococcus gnavus	33038	A0A2N5PSV0	UniRef90_A0A2N5PSV0
Cluster_1039	UniRef90_PfamDomain	PF00196;PF04542	Sigma-70 family RNA polymerase sigma factor	DW951_06815{ECO:0000313|EMBL:RHA04560.1},DXB72_05970	Clostridiales	186802	[Eubacterium] rectale	39491	A0A395ZHW8	UniRef90_A0A395ZHW8
Cluster_1039	UniRef90_uncharacterized	UniRef90_uncharacterized	Sigma-70 family RNA polymerase sigma factor	DW951_06815{ECO:0000313|EMBL:RHA04560.1},DXB72_05970	Clostridiales	186802	[Eubacterium] rectale	39491	A0A395ZHW8	UniRef90_A0A395ZHW8
Cluster_104	UniRef90_uncharacterized	UniRef90_uncharacterized	Uncharacterized protein	DWY38_15715{ECO:0000313|EMBL:RGR51965.1}	Clostridiales	186802	[Eubacterium] rectale	39491	A0A395UTX8	UniRef90_A0A395UTX8
Cluster_1040	UniRef90_GO	GO:0005506;GO:0016491	Rubrerythrin family protein	CDL20_10405{ECO:0000313|EMBL:PLT85065.1},CDL24_12005	Clostridiales	186802	Ruminococcus gnavus	33038	A0A2N5PL24	UniRef90_A0A2N5PL24
Cluster_1040	UniRef90_PfamDomain	PF02915	Rubrerythrin family protein	CDL20_10405{ECO:0000313|EMBL:PLT85065.1},CDL24_12005	Clostridiales	186802	Ruminococcus gnavus	33038	A0A2N5PL24	UniRef90_A0A2N5PL24
Cluster_1041	UniRef90_PfamDomain	PF13529	Uncharacterized protein	RUMGNA_01193{ECO:0000313|EMBL:EDN78456.1}	Clostridiales	186802	Ruminococcus gnavus (strain ATCC 29149 / VPI C7-9)	411470	A7B0W7	UniRef90_A7B0W7
Cluster_1041	UniRef90_eggNOG	COG4990;ENOG4105PTH	Uncharacterized protein	RUMGNA_01193{ECO:0000313|EMBL:EDN78456.1}	Clostridiales	186802	Ruminococcus gnavus (strain ATCC 29149 / VPI C7-9)	411470	A7B0W7	UniRef90_A7B0W7
Cluster_1041	UniRef90_uncharacterized	UniRef90_uncharacterized	Uncharacterized protein	RUMGNA_01193{ECO:0000313|EMBL:EDN78456.1}	Clostridiales	186802	Ruminococcus gnavus (strain ATCC 29149 / VPI C7-9)	411470	A7B0W7	UniRef90_A7B0W7
Cluster_1042	UniRef90_uncharacterized	UniRef90_uncharacterized	Stage III sporulation protein AG	CDL27_09865{ECO:0000313|EMBL:PLT59330.1}	Clostridiales	186802	Ruminococcus gnavus	33038	A0A2N5NQT0	UniRef90_A0A2N5NQT0
Cluster_1043	UniRef90_unknown	UniRef90_unknown	UniRef90_unknown	NA	NA	NA	NA	NA	NA	NA
